"","Year","Sort Order","region","Notes","Code","Type of Data (a)","Total","Other South","Other North","Afghanistan","Albania","Algeria","American Samoa","Andorra","Angola","Anguilla","Antigua and Barbuda","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia (Plurinational State of)","Bonaire, Sint Eustatius and Saba","Bosnia and Herzegovina","Botswana","Brazil","British Virgin Islands","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cabo Verde","Cambodia","Cameroon","Canada","Cayman Islands","Central African Republic","Chad","Channel Islands","Chile","China","China, Hong Kong SAR","China, Macao SAR","Colombia","Comoros","Congo","Cook Islands","Costa Rica","Côte d'Ivoire","Croatia","Cuba","Curaçao","Cyprus","Czechia","Dem. People's Republic of Korea","Democratic Republic of the Congo","Denmark","Djibouti","Dominica","Dominican Republic","Ecuador","Egypt","El Salvador","Equatorial Guinea","Eritrea","Estonia","Eswatini","Ethiopia","Falkland Islands (Malvinas)","Faroe Islands","Fiji","Finland","France","French Guiana","French Polynesia","Gabon","Gambia","Georgia","Germany","Ghana","Gibraltar","Greece","Greenland","Grenada","Guadeloupe","Guam","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Holy See","Honduras","Hungary","Iceland","India","Indonesia","Iran (Islamic Republic of)","Iraq","Ireland","Isle of Man","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Kuwait","Kyrgyzstan","Lao People's Democratic Republic","Latvia","Lebanon","Lesotho","Liberia","Libya","Liechtenstein","Lithuania","Luxembourg","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Martinique","Mauritania","Mauritius","Mayotte","Mexico","Micronesia (Fed. States of)","Monaco","Mongolia","Montenegro","Montserrat","Morocco","Mozambique","Myanmar","Namibia","Nauru","Nepal","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","Niue","North Macedonia","Northern Mariana Islands","Norway","Oman","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Qatar","Republic of Korea","Republic of Moldova","Réunion","Romania","Russian Federation","Rwanda","Saint Helena","Saint Kitts and Nevis","Saint Lucia","Saint Pierre and Miquelon","Saint Vincent and the Grenadines","Samoa","San Marino","Sao Tome and Principe","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Sint Maarten (Dutch part)","Slovakia","Slovenia","Solomon Islands","Somalia","South Africa","South Sudan","Spain","Sri Lanka","State of Palestine","Sudan","Suriname","Sweden","Switzerland","Syrian Arab Republic","Tajikistan","Thailand","Timor-Leste","Togo","Tokelau","Tonga","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","Turks and Caicos Islands","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United Republic of Tanzania","United States of America","United States Virgin Islands","Uruguay","Uzbekistan","Vanuatu","Venezuela (Bolivarian Republic of)","Viet Nam","Wallis and Futuna Islands","Western Sahara","Yemen","Zambia","Zimbabwe","Northern_America","Northern_America2"
"30",2010,"2010020","Oceania",NA,909,NA,7127680,64700,67114,33154,2880,2860,1791,20,530,0,40,15060,1200,60,76131,21480,420,280,1330,32752,430,1840,6510,60,80,520,1690,860,0,39730,1120,19278,0,3040,3600,40,1860,30,38701,270,54258,80,20,60,0,30204,464616,92879,2560,13200,0,1030,20544,440,480,70392,750,120,21350,14724,230,2470,12066,130,30,140,1940,43143,10960,0,3090,2240,340,10016,130,40,112166,9520,90650,10,953,30,100,490,138648,4210,480,122520,0,130,20,1211,410,660,20,600,100,0,240,24170,700,387253,90498,39470,57605,79069,880,10700,206961,1090,53574,5250,1190,16961,3280,4320,360,11878,5590,89640,110,2930,2370,30,3090,210,260,1020,145649,430,60,48660,418,40,50,26980,31,3400,12483,70,700,1880,0,2514,860,24775,1090,2090,28357,109549,4686,525922,820,20,4640,5330,51470,2542,4350,1250,34929,2352,220,2040,450,9610,258635,60923,18470,5083,660,116777,1000,210,18917,25876,620,21,19,13,0,47,88028,0,0,13885,370,35725,2970,3320,58753,0,5990,8380,2998,7662,204464,0,15115,105290,3070,25440,120,11323,17214,9330,100,58582,10580,280,2167,34474,1690,1384,39810,90,0,2344,2860,17623,5240,1438354,3848,130956,0,10630,1300,6703,3350,210658,7448,0,590,7544,41880,185734,185734
"31",2015,"2015015","Africa",NA,903,NA,23476251,2260145,724147,1136,1930,43078,401,1049,400030,0,4922,4103,436,0,13609,10208,27,71,1553,14085,55,1325,16478,2,602902,91,3,256,0,688,70921,6569,539,79,6221,1489329,428763,17849,9,125822,14496,0,665105,172957,0,2653,61794,2542,0,3587,77431,119238,0,118,869860,2640,5522,0,7740,3325,3684,1243571,5580,5406,13,2,10,51136,860,96213,386572,242,83512,139398,0,0,72,2095,236754,0,346,18638,19914,0,117808,459823,88,17837,0,374,950,0,145,385142,55896,85,25,0,298,439,45,92112,18581,1641,92307,19675,0,8997,54758,300,5710,26310,2809,136823,3,14198,97,45,677,24728,303934,100923,27151,4,625,82,36040,281328,12205,143,1114320,529,6,0,76313,19420,6507,492,3,369,10,0,0,19367,839982,344,167844,49,395,35691,0,5023,171,363682,553928,29,267,36,2581,2116,22760,9,89,105,181,317,8485,16544,57334,0,1692,4385,46,1370,3323,23424,473959,349,36,0,0,30,28,0,15897,49136,262190,6054,17961,52075,3016,0,698,71,12,1224577,88861,1027597,10535,4733,411386,1091458,0,2174,5828,125141,769,5780,8,438683,0,972,36,7337,4994,270,669,1,595586,7221,6696,151604,172857,45541,539,684,455,0,489,254,0,186861,34041,182010,555536,60128,60128
"32",2015,"2015016","Asia",NA,935,NA,77231760,2435251,1546726,4501612,3741,47306,0,0,76,0,0,42657,190226,63,74026,21119,208393,0,44649,6583745,0,133959,16362,0,8,0,35614,45,0,2504,8,275091,75,32159,506218,0,3,131,717715,59,78791,0,15,7181,0,3571,4974216,354349,117903,3088,0,529,0,95,16,334,120,0,10811,1917,71606,836,7342,3,0,10,467,2548038,10,0,28647,2432,76,244093,0,0,174,3482,106410,0,0,0,0,128302,334464,2296,3,88858,0,0,46,1008,34,0,0,0,40,0,3,14403,129,10974385,3660785,129370,847629,3675,0,68659,20763,15,122878,542161,75939,2691,0,101464,32132,992389,6379,204644,0,1,42065,0,11465,54,8,8,1425985,1597,0,76,0,0,267,305,0,5105,0,0,25398,0,0,178066,10,2637415,3,0,1781103,44121,0,17060,10,30,31044,0,144652,0,20072,10981,4564248,34,20,60,8,64383,2105916,68733,3880,54,14568,735517,30517,0,131154,3904770,4,0,0,0,0,0,0,0,0,53281,73,2707,33,3,141666,0,482,161,0,295606,20269,20708,7815,914060,3180672,631946,128,10380,19128,5709471,48589,261526,22666,2,0,0,15,34447,157457,15249,0,0,731,658914,78897,270079,373,412659,22,6425,439851,0,507,487462,0,0,983722,845,319,491450,491450
"33",2015,"2015017","Europe",NA,908,NA,75008219,290743,820878,296193,1012511,1660570,44,7566,218568,892,5771,389072,655665,4913,246696,405314,902960,3044,7561,382362,25895,1262815,426156,1834,29326,4790,2288,189750,4476,1402629,4323,594907,454,5907,545292,26693,22448,112060,78201,157709,251309,1228,19426,10305,19760,157280,1063228,122769,2029,516404,38484,102747,3,11207,144616,661318,202561,61301,129262,716089,28358,219214,165908,9259,17002,242066,540393,285208,30857,20678,116231,174259,2410,129332,1276,14472,6647,241066,1221704,0,122,23647,46349,672810,2358809,253664,11902,384660,17696,12702,0,1,20199,73933,41260,34716,85952,300,48587,396514,31221,1272620,184925,425862,444887,470706,10415,83581,1532144,145359,147265,39414,3782844,171478,237,21354,703616,51965,264296,211295,1147,14272,70237,3443,498377,65855,135700,19850,101002,570,106071,43216,2,0,30799,108854,0,118290,124,28605,38248,150481,10376,2639296,83661,27193,4133,32,60578,502512,166,95130,27144,10634,363299,0,335875,50,130720,4499,870265,195,9120,2585,70424,364532,507161,3395743,1391068,59,4798,117645,832824,16,3005555,5834059,31657,3846,7669,16025,0,9211,918,3593,19386,45094,279272,715858,6215,40954,66894,21893,289692,107058,440,318138,298644,126,758525,391827,20016,49171,226158,241244,533969,264984,529786,266759,4690,53518,0,442,31457,595520,2550736,222768,156,649,87104,4664169,17787,1323239,54970,719240,174,94391,1448180,1066,271376,434774,1,1180,27357,41638,173876,993035,993035
"34",2015,"2015018","Latin America and the Caribbean",NA,904,NA,9441679,221080,79846,421,323,1231,0,88,8264,1609,7859,275149,838,5345,6843,8629,10,1594,71,202,4824,342,10477,5218,36,158,24,543844,3098,154,29,233297,4055,171,1975,44,31,1584,189,314,46248,134,224,54,126,290579,132556,4665,28,1390750,3,188,14,31755,456,3663,70198,9550,103,4114,2884,287,2889,0,21660,117326,94405,5048,71557,72,34,515,19,270,58,6,29,1704,184440,4115,18,52,39,10332,82088,276,33,5224,465,10850,9870,17,89877,91,1134,61638,606223,6,66723,5664,635,18364,2083,2093,970,2123,2,10361,296545,35385,80064,2423,88,260,102,153,17,1097,592,27803,30,58,418,107,1516,264,84,24,476,15,274,131,0,12760,4,6,3,71726,7,189,19,300,3052,2629,1912,136,78,21,101,33807,12,1399,339080,76,2738,16,2808,21,2781,41,1434,30,23359,13,736953,460213,8760,18040,229062,15704,82,32954,506,1170,7325,13882,33,1413,11808,13638,117,15543,0,63,103,2571,484,1528,35,12,439,2329,667,1367,1,77,3651,0,320190,65,3140,23,40124,7173,17173,21763,15,1166,59,69,0,818,16441,207,2592,31,1591,4,105,8351,96,50121,157,1154366,3151,183578,49,228,169816,468,14,12,30,27,209,1201354,1201354
"35",2015,"2015019","Northern America",NA,905,NA,55633443,2393544,14868,125558,107079,83622,0,0,17157,64,33964,218554,98353,7160,110265,66851,25768,38123,2366,280777,72437,71574,55684,56122,2738,10894,4203,90881,4055,163278,841,390402,84,4441,92096,1960,8387,40658,204594,67639,833125,267,1044,1579,0,133161,3319978,455813,18261,768755,133,2435,0,95850,40027,84598,1228379,39624,24395,96718,772,50959,48482,2213,35131,1097336,492857,252159,1399967,59,51195,14254,10714,253958,0,269,71245,31323,278981,277,178,1064,23820,29670,730023,183893,163,213907,0,45816,509,0,1008622,25472,108,386073,776773,0,615165,115220,6413,3052205,118662,547135,281233,148294,0,156229,586889,848737,363415,88515,41220,152074,0,44912,9064,228110,30985,207491,103,87932,15914,0,44380,3337,3515,663,95497,0,2074,15757,7188,638,896,15744,0,11723096,8064,108,1406,1846,7353,142728,1237,142558,1024,0,119926,180412,465,34260,280654,9783,296745,0,29315,0,29958,3842,384598,0,117579,200280,34359,486875,1990133,448719,760986,1840676,138083,1060519,46393,122101,195304,386821,89428,0,97023,29422,2084,31334,18995,0,0,100681,42472,58203,7436,74700,37156,1589,3010,21365,0,107267,109433,26969,156038,58393,82192,55922,145500,53238,43957,91446,23657,320531,0,14927,0,29851,259352,121021,443726,19570,26532,0,46198,383618,25500,759866,71035,497873,20398,303307,61293,0,242735,1306897,0,0,66219,192453,58394,1343976,1343976
"36",2015,"2015020","Oceania",NA,909,NA,8069944,71352,83929,52090,3460,2867,1522,20,560,0,60,17280,1460,70,78237,19330,650,310,1730,46356,450,2180,7290,80,110,580,5850,1050,0,36750,1320,30518,0,2890,3930,60,2390,40,41797,450,62912,130,30,70,0,32683,609887,102405,2780,21007,0,1610,21544,500,600,63615,880,150,20100,14577,220,4270,11695,190,40,210,2810,46004,11350,0,4660,3440,390,14317,120,30,129730,9210,106759,20,1169,50,130,620,132944,5900,490,115820,0,140,20,1119,540,940,20,660,120,0,320,22541,610,520514,96656,65263,76568,99970,810,11240,200965,1290,61477,6530,1920,21434,3780,6580,490,11620,4990,93290,150,3520,2790,20,3370,250,290,1400,160598,610,80,44070,422,40,60,28660,8,5390,12436,80,1780,2030,0,2718,1010,34360,1430,2173,51740,101224,4154,583165,860,30,8360,5324,49990,2532,4360,1560,67055,2293,250,2082,500,11270,326556,56549,19140,5031,1100,138842,1160,220,19389,31465,980,21,19,13,0,47,97023,0,0,16431,430,34923,3030,3990,65110,0,6720,8060,3417,9797,233786,7480,17917,129774,3190,19730,170,12882,17495,14170,160,74423,10000,370,2171,37978,1910,1285,39710,100,0,2554,3800,18492,8090,1473372,4528,152756,0,10580,1840,5593,5760,243131,11210,0,710,8781,48586,216248,216248
"37",2019,"2019015","Africa",NA,903,NA,26529334,2272074,785250,1289,2156,44703,446,1166,407618,0,4749,4621,500,0,15277,11483,35,76,1762,14791,58,1497,18392,1,631127,101,2,284,0,762,79183,7245,599,102,6982,1549306,587178,18620,8,135413,16037,0,745799,185455,0,2962,68329,2845,0,3595,79423,125553,0,112,911710,2968,5786,0,8692,3763,3902,1383659,6217,5891,12,1,12,56836,964,102705,446892,275,93540,157812,0,0,78,2342,248464,0,385,20188,20602,0,131902,478867,99,20075,0,416,1057,0,162,413880,58753,95,23,0,284,498,49,98986,20520,1843,102834,22032,0,10212,61060,336,6548,29204,3129,137969,2,15804,120,49,753,26850,339973,105401,29822,3,699,87,36458,299660,13726,161,1139522,592,5,0,94671,21106,6606,564,2,412,14,0,0,20556,923379,385,188021,51,416,39971,0,5639,189,379145,630354,32,323,39,2872,2383,25084,8,99,114,202,354,9382,18570,62579,0,1896,4826,63,1428,3734,26962,457156,390,39,0,0,28,26,0,17039,54214,286675,6784,18707,56980,3362,0,794,73,11,1244623,92442,2547562,11334,5087,470108,1161292,0,2357,6709,176204,847,6489,8,468819,0,927,39,7946,5710,298,744,0,580330,8055,7459,168150,179006,50549,595,760,2210,0,553,282,0,194312,21937,193916,607784,66687,66687
"38",2019,"2019016","Asia",NA,935,NA,83559197,2486931,1559115,4432460,4913,46313,0,0,78,0,0,41974,185296,64,78550,26134,215494,0,45446,7026940,0,136272,19392,0,7,0,34451,45,0,3343,7,295535,101,32045,675814,0,2,135,747751,58,84834,0,14,7653,0,3493,4982349,360881,136919,3030,0,545,0,113,16,412,132,0,14495,2319,74643,861,8587,2,0,9,480,2846685,9,0,34407,2491,102,271899,0,0,170,4142,115521,0,0,0,0,128203,432126,2594,2,109708,0,0,62,1039,35,0,0,0,39,0,2,14282,143,11889410,4086876,172357,943285,4219,0,69292,22440,14,131316,604710,76810,2711,0,106568,32945,1032100,6328,235853,0,1,44181,0,11597,68,7,7,1266764,1603,0,89,0,0,276,299,0,5364,0,0,25917,0,0,174624,9,3475193,2,0,1996320,53092,0,17720,9,28,33179,0,195562,0,21621,10972,4790649,35,19,61,7,67417,2370392,68089,4182,54,14851,768203,31527,0,135645,4009990,4,0,0,0,0,0,0,0,0,56047,94,2709,32,2,150239,0,592,211,0,301575,20111,22078,8757,1127670,3304104,738115,130,12378,23124,6839906,38823,277231,23669,2,0,0,14,34563,162709,15777,0,0,718,671269,83979,293988,450,429447,21,6263,453346,0,510,565531,0,0,1138887,831,318,514281,514281
"39",2019,"2019017","Europe",NA,908,NA,82304539,311208,868939,488944,1080239,1759610,43,7818,225514,993,5631,406226,670382,6089,276223,437204,911777,3250,8314,435166,29276,1263080,464251,2028,32133,5421,2435,192719,5109,1434948,4864,656803,511,6642,753352,29566,25057,121897,83302,173789,276055,1393,20675,11466,22417,165656,1205047,138602,2065,551588,40728,108628,4,12272,157955,827071,219900,70097,144524,781491,30506,239522,173533,10193,18515,261283,544487,316978,33757,22820,209210,185722,2642,150888,1448,13545,7531,238236,1322597,0,136,25232,71987,678126,2503056,283416,13500,555599,18207,14344,0,1,21557,88407,43420,38719,91145,209,65981,463878,33767,1488666,188008,481863,588136,533716,11824,92373,1888256,164886,163358,44442,3878875,194581,265,26856,711529,55159,286099,230432,1299,15028,85974,3577,544655,71133,144095,22508,113493,627,122498,48798,2,0,32531,118680,0,132249,128,30613,42244,148576,11769,2781506,85444,30072,4665,32,79476,554043,187,107205,33525,11864,439310,0,375275,49,137603,5198,984687,198,9693,2205,77202,384056,563156,3824285,1493128,63,5325,128886,929979,18,3194294,5993380,34359,4368,8696,17820,0,10440,968,2355,19852,57585,309019,840572,6868,45345,75994,25034,333084,114581,501,381218,335671,336,901163,432505,20821,60259,223358,259255,565014,1062656,532712,300344,5091,57970,0,491,35565,638385,2800200,223606,174,648,99502,4779015,24494,1423666,62000,797994,197,97451,1455576,1137,324338,469341,1,1244,34528,82346,208529,1097677,1097677
"40",2019,"2019018","Latin America and the Caribbean",NA,904,NA,11673288,220861,88624,493,344,1318,0,99,9286,1646,7988,305335,865,5687,8125,9602,12,1660,76,219,5007,354,11806,5443,40,166,28,585895,3310,174,34,248391,4116,192,2129,48,35,1775,201,341,50198,136,236,71,128,298181,142549,4786,37,1409138,4,211,16,33856,514,4162,71552,10416,114,4372,2976,317,3269,0,22151,112213,103693,5609,73743,82,35,586,21,280,59,8,38,1936,193590,4238,24,61,40,13760,91810,293,38,5698,477,11484,10171,21,94213,103,1278,64489,656380,8,69847,6238,720,20007,2323,2280,1102,2363,2,11454,309277,37809,89384,2673,100,292,114,163,21,1187,647,29867,40,68,452,112,1633,290,98,27,527,17,363,153,0,13194,5,8,4,76045,8,217,20,297,3135,2793,2170,143,91,28,117,36268,16,1617,345134,91,2992,21,3258,28,3241,48,1672,35,24049,17,756543,522845,9497,19268,249250,16266,108,35924,522,1214,8024,14936,40,1817,12060,14051,123,16353,0,70,122,2614,526,1580,39,13,517,2473,752,1450,1,89,4176,0,335770,74,3843,27,43809,8638,19009,22210,18,1287,66,89,0,1092,16646,233,2936,36,1689,4,116,8779,105,54362,180,1191556,3192,192260,56,233,1924877,496,15,16,31,33,236,1242520,1242520
"41",2019,"2019019","Northern America",NA,905,NA,58647822,2584771,16148,135162,115508,89772,0,0,18502,68,36658,235856,106176,7726,118894,72059,27794,41154,2535,302730,78108,77200,59975,60588,2934,11748,4503,98105,4345,176027,901,490982,90,4759,99299,2100,8987,43903,220748,72889,827561,286,1118,1692,0,143580,3588592,490520,19672,872616,142,2609,0,103476,43131,91027,1356341,42461,26309,104273,827,54818,51820,2371,37914,1184930,532115,271776,1480174,63,55161,15364,11481,273980,0,264,76734,33744,302303,296,190,1140,25717,32019,718478,198388,174,230475,0,49392,545,0,1089074,27463,115,416195,837957,0,664255,124124,6904,3371452,128025,566998,303141,152688,0,174162,591597,906591,380752,95477,44409,164001,0,48374,9762,246217,33410,221451,110,94936,17132,0,47884,3596,3766,710,102928,0,2222,16953,7761,683,960,16871,0,11575196,8708,115,1506,1978,7934,153559,1325,153881,1097,0,129389,194101,498,36995,303077,10483,320361,0,31645,0,32334,4117,415257,0,126962,214622,37081,525775,2055551,458423,802234,1985700,147971,1084329,50078,130845,210760,411849,95832,0,104127,31721,2233,33787,20508,0,0,108618,45864,62688,7968,80393,40115,1702,3225,22973,0,115718,118090,28900,168129,63012,88410,60300,156041,57473,47456,98698,25390,345691,0,15995,0,32150,280062,130688,478636,20989,28426,0,49884,414269,27428,797872,76537,533305,21858,325459,66188,0,262075,1375520,0,0,71339,206440,63035,1374847,1374847
"42",2019,"2019020","Oceania",NA,909,NA,8927925,74580,89844,62408,3872,3068,1328,31,592,0,63,19402,1629,74,80186,19468,740,327,2020,55306,476,2391,7924,84,116,613,7797,1163,0,37802,1512,46383,0,3237,4284,63,2740,42,45874,539,68402,158,42,63,0,36279,745415,112724,3237,29065,0,1851,22468,571,677,64372,973,158,20514,15170,264,5438,12190,211,42,232,2898,49742,12092,0,5776,3819,402,16888,116,21,138082,9606,114059,21,1247,63,137,708,136831,7067,507,117702,0,148,21,1136,603,1110,21,698,137,0,338,23106,603,642410,107240,76634,95024,101779,983,12442,205147,1385,67494,7871,2264,25883,3989,7617,592,12322,4983,99705,158,3904,3025,21,3755,296,338,1629,191784,645,95,44552,437,42,63,31380,7,6760,12973,95,3787,2158,0,3031,1089,39798,1639,2310,79646,103278,4397,608127,931,42,12135,5540,52201,2648,4665,2221,85937,2374,285,2107,603,12473,369359,58350,20186,5264,1481,154412,1248,264,20337,34598,1153,21,19,13,0,47,102901,0,0,17176,476,36152,3174,4369,70524,0,7236,8305,3721,11154,254111,9342,19789,147420,3364,20620,179,13724,18484,25825,169,89077,10368,402,2242,39773,1978,1398,42880,126,0,2624,4401,19680,10939,1536960,5000,164221,0,11246,2147,5976,7427,272784,11804,0,888,9521,53752,233236,233236
